,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,0.0098918612638592,0.0699952615264938,0.0362565878950715,0.0233935550151842,0.0311147985027029,0.0313673917737176,0.0278935561641475,0.0294418016962403,0.0311101911415534,0.0290100063321578,0.0222121185153643,-0.0064408554239535,0.0432252530656565,0.0261855213255706
서울특별시,0.0149626930535495,0.035343543181149,0.031528987457738,0.0139985647332678,0.0164984601817386,0.015078235235596,0.0292110788458885,0.0283963248490177,0.0233933276861297,0.0359902777375746,0.0259824752606185,0.0085632519731675,0.0336182210690432,0.0158872773213618
부산광역시,-0.0345865390961794,0.0531487895653317,0.0253453321197338,0.0264247615773591,0.016601219800655,0.0423151382335018,0.0304382074088784,0.0170859422290747,0.0157813875914185,0.0169460153156104,0.0254977579378494,-0.0352690632389706,0.0193876626200786,0.0257269584126089
대구광역시,-0.0278130194314363,0.0648264457503651,0.0349682149896621,0.0374577734584773,0.0352249610078199,0.026372062967723,0.0296537912686722,3.645169090593648e-05,0.0173146360148643,0.0235915849737451,0.014773392624118,-0.0199710614451341,0.0437664855544801,0.01747481883417
인천광역시,-0.0137538670413813,0.0973521615998946,0.0178322298499298,0.0367594614464574,0.0265724627163832,0.0482343991152514,0.0183408591539295,0.0264496127443747,0.042968333242723,0.0074047141442101,0.0177811460735715,-0.0347422597892289,0.063814828033115,0.059636716153802
광주광역시,-0.0219709069120641,0.1205721005210773,0.0181876378524787,0.0205855276898425,0.0382052791420055,0.0398724443564602,0.0197842706181046,0.031219819530099,0.0125552611657624,0.0503361365693677,0.0368419552849446,-0.0023569030027029,0.0436748535477871,0.0165416228469754
대전광역시,0.0262502425791426,0.0701547541281206,0.0360485570444213,0.0154087022741737,0.0113859252217851,0.019962506784716,0.0299588294881192,0.034818406477004,0.0082151920152393,0.0093686025025221,0.0395639237996563,0.0128835860463594,0.0313492087470157,0.0445961120792788
울산광역시,-0.0156607615823136,0.0451387637869835,0.0794357522956834,0.0061595680702779,0.0050682967168005,0.0011969042844923,0.0061516963139829,0.0085548563025197,-0.0069232736128751,-0.0222638770714594,0.009534162391745,-0.0678679793829882,0.0355521260549507,-0.0045890097414567
세종특별자치시,,,,,,0.2545020161099935,0.0725436357572333,0.050570515085877,0.0421648558916922,0.0279528023412638,0.0640305997634216,0.0502153990969287,0.0739535031865179,0.0325385170659799
경기도,0.0209334105248797,0.0981624273223846,0.043336473303259,0.0448524654344035,0.0567691532033585,0.0454024603978608,0.0547238953477093,0.0467295019628679,0.0658906492387843,0.0604021908611052,0.022954944533311,0.0167305366894199,0.0602864772458742,0.0361176130490641
강원도,0.0089764547833648,0.043430260271881,0.0238088596086956,0.0199568312706817,0.0321692465980802,0.0488339144604719,0.0197115189443022,0.028857454068264,0.0407643234240004,0.018577392540936,0.0334228886067036,-0.0268104664589722,0.0435474598484342,0.0298838654248636
충청북도,0.055385450833759,0.0873606784678455,0.0589254010696909,0.0343092784167571,0.0392941573356726,0.04194387226421,0.0696737207936499,0.0577786854032749,0.0611951590095964,0.0625774748879148,0.0166757076293926,-0.0149650581525409,0.0685940401777174,0.0451592058850274
충청남도,0.0258392742617683,0.1144340385760582,0.070163243235469,0.0071429912764309,-0.0183035568145186,0.0287043698236009,0.0109753947336392,0.0316313868477311,0.0541828687369612,0.0064222193386858,0.0129663388425205,0.0040181004171087,0.0507721223037629,0.0245948198281322
전라북도,0.009202549304252,0.0509127548795531,0.0386568375759719,0.0102177263010809,0.0436659746271488,0.0203827009489594,0.0096662743362432,-0.0075179248266218,0.0190411993686856,0.0167748057807968,0.0238930517644251,-0.0078735643595495,0.030949653894601,0.0205789975164696
전라남도,-0.0050472647547142,0.0993895911574442,-0.0139948530877038,0.0066657404987147,0.0192658118818469,-0.000450216865684,0.0069187680561288,0.0228133717902989,0.0126395811004171,0.0217003941075055,0.0237312471417734,0.00475052815326,0.0265869906902123,-0.0193650329333993
경상북도,-0.0043941939665823,0.073721102086786,0.0263173556574269,0.0080767018912522,0.0379426379356044,0.0714116722725639,-0.0262601574081038,0.0254588592916842,-0.0124422415116384,-0.0122635319032783,0.0122979251773842,-0.0291853884019026,0.038020104496631,0.0174238047875308
경상남도,0.034903330808119,0.0607826452199951,0.0301246215114798,0.0262061413925926,0.0054214530807674,0.0035245252305835,0.0166663719418798,0.0070589397957814,-0.0072851179283524,0.0062214867293437,0.0200195821253827,-0.0543607750441703,0.0189435933131136,0.0463126019930186
제주특별자치도,0.0618713442631539,0.0182273341419676,0.0687847252680327,0.0631555710197782,0.0494601478896723,0.0692577886843015,0.0735331865358497,0.0803184264272196,0.045708008622753,-0.0092118129878221,0.0114870599895615,-0.0640405937812562,0.0120022865104514,0.0456805597482774
