지역,년도,예산
서울,2024,13239211106000.0
서울,2023,15763188829000.0
서울,2022,11032863789000.0
서울,2021,9856084962000.0
서울,2020,10148031542000.0
서울,2019,9430830090000.0
서울,2018,9199289564000.0
서울,2017,8165785632000.0
서울,2016,8001286720000.0
서울,2015,7690091797000.0
서울,2014,7439129000000.0
서울,2013,7399387537000.0
인천,2024,6105791197000.0
인천,2023,6657390793000.0
인천,2022,5292815274000.0
인천,2021,4197087713000.0
인천,2020,4202224679000.0
인천,2019,3788828097000.0
인천,2018,3525647505000.0
인천,2017,3132754943000.0
인천,2016,2945560996000.0
인천,2015,2774286057000.0
인천,2014,2694259662000.0
인천,2013,2614191303000.0
경기,2024,23615180904000.0
경기,2023,27005153860000.0
경기,2022,19393976476000.0
경기,2021,16093909299000.0
경기,2020,16466666945000.0
경기,2019,15417755831000.0
경기,2018,14548472098000.0
경기,2017,12052413872000.0
경기,2016,12122991238000.0
경기,2015,11764860214000.0
경기,2014,11278472732000.0
경기,2013,10933647855000.0
