"행정구역별(1)",2007,2008,2009,2010,2011,2012,2013,2014,2015
"행정구역별(1)",합계,합계,합계,합계,합계,합계,합계,합계,합계
"행정구역별(1)",합계,합계,합계,합계,합계,합계,합계,합계,합계
"합계",722686,891341,1106884,1139283,1265006,1409577,1445631,1569470,1741919
"서울특별시",207417,260019,334910,336221,366279,406293,395640,415059,457806
"부산광역시",28591,33192,40913,41365,44726,49329,51617,54394,57807
"대구광역시",20731,22822,25424,26002,28153,31231,32522,34976,37610
"인천광역시",43093,49253,61522,63575,69350,73588,75552,82523,91525
"광주광역시",10784,13077,15659,16632,18824,20649,22291,24466,26536
"대전광역시",12044,14682,18834,19699,21360,22499,22907,23729,25190
"울산광역시",12034,14667,18914,19354,21400,25163,28045,32772,38183
"세종특별자치시",-,-,-,-,-,-,3668,3782,4302
"경기도",214727,277991,323964,337821,380606,424946,440735,492790,554160
"강원도",13238,15236,18908,19041,21940,22731,23738,25141,26657
"충청북도",19274,22669,28311,30138,34083,37653,39177,43148,48002
"충청남도",30337,36591,45920,48874,57869,67157,68639,75438,83524
"전라북도",14903,18423,27223,28450,31515,35281,37788,39777,43141
"전라남도",16312,20551,30309,31305,35077,39006,41340,43828,48473
"경상북도",34579,36685,44831,46658,50808,56250,59330,64931,70725
"경상남도",40607,50431,64298,66800,74517,87395,89986,97148,108375
"제주특별자치도",4015,5052,6944,7348,8499,10406,12656,15568,19903
