"행정구역별(1)",2015,2016,2017,2018,2019,2020,2021,2022
"행정구역별(1)",합계 (명),합계 (명),합계 (명),합계 (명),합계 (명),합계 (명),합계 (명),합계 (명)
"행정구역별(1)",합계,합계,합계,합계,합계,합계,합계,합계
"합계",1711013,1764664,1861084,2054621,2216612,2156417,2134569,2258248
"서울특별시",408083,404037,413943,446473,465885,444443,426743,442289
"부산광역시",58080,59872,64145,71570,77968,73185,72361,75687
"대구광역시",38899,40251,42506,47017,53023,50900,51140,53684
"인천광역시",89515,94670,104441,115720,130292,131396,134714,146885
"광주광역시",29131,31162,34412,38698,43053,40715,41181,44063
"대전광역시",25886,26656,28404,31100,34148,32302,33078,36435
"울산광역시",36953,35929,34373,35249,37284,35996,34800,36061
"세종특별자치시",5570,6084,6761,8187,9814,9382,9335,9756
"경기도",549503,571384,603609,672791,720090,717900,714497,751507
"강원특별자치도",27253,28469,31123,34682,38504,36659,37230,40989
"충청북도",52073,56660,61246,68641,74880,73064,73529,79411
"충청남도",88189,95553,104854,117094,127057,123430,124492,136006
"전라북도",44184,45836,49840,55940,62151,61316,60684,65119
"전라남도",50864,53066,55504,61607,68719,66936,66871,73183
"경상북도",74919,78339,83898,94873,104596,98566,98197,104564
"경상남도",112387,114594,116379,123947,134675,126445,123074,128701
"제주특별자치도",19524,22102,25646,31032,34473,33782,32643,33908
